Date, Humidity (%), Temperature (°C), Soil Moisture (%), Humidity Purcentage (%)
March 01 2025 07:46:00, 50.418854, 20.221519, 3551, 1.164179
March 01 2025 08:47:16, 49.496746, 9.056282, 3136, 13.552238
March 01 2025 08:48:17, 48.847866, 8.928871, 1107, 74.119400
March 01 2025 08:49:17, 48.309994, 8.987236, 994, 77.492538
March 01 2025 08:50:17, 47.884750, 9.244156, 975, 78.059700
March 01 2025 08:51:17, 47.630024, 9.521294, 1023, 76.626869
March 01 2025 08:52:18, 46.816921, 9.877396, 969, 78.238808
March 01 2025 08:53:18, 46.208858, 10.175896, 1014, 76.895523
March 01 2025 08:54:18, 45.781612, 10.416222, 959, 78.537315
March 01 2025 08:55:18, 45.301247, 10.784149, 978, 77.970146
March 01 2025 08:56:18, 44.716549, 11.032104, 962, 78.447762
March 01 2025 08:57:19, 44.258022, 11.215019, 935, 79.253731
March 01 2025 08:58:19, 43.819237, 11.444664, 935, 79.253731
March 01 2025 08:59:19, 43.158054, 11.670113, 933, 79.313431
March 01 2025 09:00:19, 42.122746, 11.844826, 944, 78.985077
March 01 2025 09:01:20, 41.535091, 12.168503, 983, 77.820892
March 01 2025 09:02:20, 41.172600, 12.209320, 942, 79.044777
March 01 2025 09:03:20, 40.689945, 12.457085, 976, 78.029854
March 01 2025 09:04:20, 40.468407, 12.617683, 960, 78.507462
March 01 2025 09:05:21, 40.419197, 12.646484, 1009, 77.044777
March 01 2025 09:07:24, 47.883320, 10.664940, 976, 78.029854
March 01 2025 09:08:25, 45.002747, 11.287308, 980, 77.910446
March 01 2025 09:09:25, 43.623161, 11.727524, 976, 78.029854
March 01 2025 09:10:25, 42.326546, 11.957359, 1001, 77.283585
March 01 2025 09:11:25, 41.682243, 12.265396, 961, 78.477615
March 01 2025 09:12:26, 41.136456, 12.415886, 883, 80.805969
March 01 2025 09:13:26, 40.875053, 12.573433, 961, 78.477615
March 01 2025 09:14:26, 40.248871, 12.559700, 947, 78.895523
March 01 2025 09:15:26, 39.884949, 12.736130, 960, 78.507462
March 01 2025 09:16:27, 39.631844, 12.894058, 960, 78.507462
March 01 2025 09:17:27, 39.633942, 12.895203, 954, 78.686569
March 01 2025 09:18:27, 39.792442, 12.920761, 981, 77.880600
March 01 2025 09:19:27, 39.689255, 13.053322, 960, 78.507462
March 01 2025 09:20:28, 39.159870, 13.191605, 976, 78.029854
March 01 2025 09:21:28, 38.645935, 13.267326, 944, 78.985077
March 01 2025 09:22:28, 38.737297, 13.310623, 965, 78.358208
March 01 2025 09:23:28, 38.963795, 13.389969, 976, 78.029854
March 01 2025 09:24:28, 38.525581, 13.470268, 969, 78.238808
March 01 2025 09:25:29, 38.385105, 13.519669, 942, 79.044777
March 01 2025 09:26:29, 38.593674, 13.349533, 1002, 77.253731
March 01 2025 09:27:29, 38.040352, 13.471222, 975, 78.059700
March 01 2025 09:28:29, 37.998104, 13.325500, 1006, 77.134331
March 01 2025 09:29:30, 37.185574, 13.379288, 959, 78.537315
March 01 2025 09:30:30, 36.649990, 13.543320, 943, 79.014923
March 01 2025 09:31:30, 36.029530, 13.514709, 967, 78.298508
March 01 2025 09:32:30, 36.197948, 13.278580, 966, 78.328362
March 01 2025 09:33:31, 36.661720, 13.194466, 972, 78.149254
March 01 2025 09:34:31, 37.071800, 13.182068, 1008, 77.074623
March 01 2025 09:35:31, 37.572479, 13.096428, 910, 80.000000
March 01 2025 09:36:31, 37.714863, 13.101387, 1003, 77.223877
March 01 2025 09:37:31, 37.822342, 13.121223, 971, 78.179108
March 01 2025 09:38:32, 37.694073, 13.184929, 966, 78.328362
March 01 2025 09:39:32, 36.729050, 13.333893, 949, 78.835823
March 01 2025 09:40:32, 36.629391, 13.311768, 950, 78.805969
March 01 2025 09:41:32, 37.183762, 13.397789, 974, 78.089554
March 01 2025 09:42:33, 36.803627, 13.395500, 982, 77.850746
