Date, Humidity (%), Temperature (°C), Soil Moisture (%), Humidity Purcentage (%)
March 01 2025 09:22:52, 56.882668, 9.001541, 3423, 4.985075
March 01 2025 09:23:52, 56.420326, 8.234787, 3431, 4.746269
March 01 2025 09:25:25, 58.829975, 8.228874, 3422, 5.014925
March 01 2025 09:26:26, 57.228565, 7.716751, 3420, 5.074627
March 01 2025 09:27:26, 58.046436, 7.291794, 3416, 5.194030
March 01 2025 09:28:26, 57.612991, 7.345390, 3427, 4.865672
March 01 2025 09:29:26, 57.650185, 7.480049, 3411, 5.343284
March 01 2025 09:30:27, 58.445930, 7.644272, 3467, 3.671642
March 01 2025 09:31:27, 57.263374, 7.976151, 32, 100.000000
March 01 2025 09:35:23, 56.757355, 9.279060, 3440, 4.477612
March 01 2025 09:36:17, 54.031754, 8.947945, 3434, 4.656716
March 01 2025 09:37:17, 54.957771, 8.636475, 3456, 4.000000
March 01 2025 09:38:18, 54.274940, 8.082199, 3467, 3.671642
March 01 2025 09:40:21, 57.821178, 8.008385, 3479, 3.313433
March 01 2025 09:41:22, 56.160831, 7.809639, 3455, 4.029851
March 01 2025 09:42:22, 60.662842, 7.760429, 1529, 61.522388
March 01 2025 09:43:22, 57.987213, 7.943153, 1443, 64.089554
March 01 2025 09:44:23, 57.056046, 8.226967, 1427, 64.567162
March 01 2025 09:45:23, 57.886982, 8.317566, 1415, 64.925377
March 01 2025 09:46:23, 57.312584, 8.616257, 1402, 65.313431
March 01 2025 09:47:23, 56.376266, 8.833313, 1392, 65.611938
March 01 2025 09:48:23, 55.293274, 8.710670, 1382, 65.910446
March 01 2025 09:49:24, 56.015682, 8.738327, 1371, 66.238808
March 01 2025 09:50:24, 55.357456, 8.823204, 1361, 66.537315
March 01 2025 09:51:24, 55.633068, 8.654404, 1363, 66.477615
March 01 2025 09:52:24, 54.046535, 9.039497, 1361, 66.537315
March 01 2025 09:53:25, 55.065060, 8.751106, 1360, 66.567162
March 01 2025 09:54:25, 55.826473, 8.502960, 1356, 66.686569
March 01 2025 09:55:25, 55.645084, 8.371925, 1358, 66.626869
March 01 2025 09:56:25, 56.816292, 8.588219, 1355, 66.716415
March 01 2025 09:57:26, 56.192780, 8.935928, 1354, 66.746269
March 01 2025 09:58:26, 56.326294, 8.850479, 1355, 66.716415
March 01 2025 09:59:26, 55.676365, 8.522224, 1358, 66.626869
March 01 2025 10:00:26, 55.051422, 8.350182, 1353, 66.776123
March 01 2025 10:01:26, 56.697845, 8.276558, 1350, 66.865669
March 01 2025 10:02:27, 57.867622, 8.187103, 1349, 66.895523
March 01 2025 10:03:27, 56.509495, 8.544540, 1349, 66.895523
March 01 2025 10:04:27, 54.102325, 8.626747, 1356, 66.686569
March 01 2025 10:05:27, 54.987049, 8.400536, 1355, 66.716415
March 01 2025 10:06:28, 56.073093, 8.231735, 1353, 66.776123
March 01 2025 10:07:28, 56.395435, 8.091354, 1351, 66.835823
March 01 2025 10:08:28, 57.702827, 8.161736, 1355, 66.716415
March 01 2025 10:09:28, 57.423306, 8.310509, 1350, 66.865669
March 01 2025 10:10:29, 55.425739, 8.236122, 1357, 66.656715
March 01 2025 10:11:29, 56.301403, 8.181953, 1356, 66.686569
March 01 2025 10:12:29, 56.966877, 8.038330, 1351, 66.835823
March 01 2025 10:13:29, 58.661556, 8.037949, 1355, 66.716415
March 01 2025 10:14:30, 56.844997, 8.028793, 1354, 66.746269
March 01 2025 10:15:30, 55.911922, 7.964134, 1353, 66.776123
March 01 2025 10:16:30, 57.613945, 7.909584, 1348, 66.925377
March 01 2025 10:17:30, 58.552837, 7.913208, 1351, 66.835823
March 01 2025 10:18:30, 57.893181, 8.032799, 1359, 66.597015
March 01 2025 10:19:31, 56.868362, 8.491135, 1357, 66.656715
March 01 2025 10:20:31, 55.134583, 8.822060, 1359, 66.597015
March 01 2025 10:21:31, 55.122280, 8.583260, 1357, 66.656715
March 01 2025 10:22:31, 54.482937, 8.464622, 1354, 66.746269
March 01 2025 10:23:32, 54.977703, 8.293152, 1355, 66.716415
March 01 2025 10:24:32, 55.770779, 8.182716, 1357, 66.656715
March 01 2025 10:25:32, 56.508350, 8.148956, 1357, 66.656715
March 01 2025 10:26:32, 57.164574, 8.088303, 1356, 66.686569
March 01 2025 10:27:33, 57.154560, 8.008003, 1357, 66.656715
March 01 2025 10:28:33, 57.604885, 7.951355, 1366, 66.388062
March 01 2025 10:29:33, 58.624363, 7.985115, 1359, 66.597015
March 01 2025 10:30:33, 57.109833, 8.401299, 1358, 66.626869
March 01 2025 10:31:33, 57.030010, 8.659363, 1360, 66.567162
March 01 2025 10:32:34, 56.762218, 8.606148, 1371, 66.238808
March 01 2025 10:33:34, 55.581188, 8.462715, 1360, 66.567162
March 01 2025 10:34:34, 54.177666, 8.551598, 1358, 66.626869
March 01 2025 10:35:34, 56.647396, 8.648872, 1361, 66.537315
March 01 2025 10:36:35, 56.411266, 8.648872, 1358, 66.626869
March 01 2025 10:37:35, 54.695225, 8.580971, 1360, 66.567162
March 01 2025 10:38:35, 55.792522, 8.408165, 1361, 66.537315
March 01 2025 10:39:35, 56.066608, 8.241463, 1360, 66.567162
March 01 2025 10:40:36, 56.023979, 8.099174, 1359, 66.597015
March 01 2025 10:41:36, 56.786346, 8.060074, 1360, 66.567162
March 01 2025 10:42:36, 55.615997, 8.094788, 1359, 66.597015
March 01 2025 10:43:36, 55.896950, 8.024216, 1360, 66.567162
March 01 2025 10:44:37, 56.768417, 8.038902, 1359, 66.597015
March 01 2025 10:45:37, 57.691860, 8.194923, 1359, 66.597015
March 01 2025 10:46:37, 57.599545, 8.492470, 1360, 66.567162
March 01 2025 10:47:37, 57.174778, 8.997154, 1362, 66.507462
March 01 2025 10:48:37, 55.115032, 9.218788, 1365, 66.417908
March 01 2025 10:49:38, 54.760838, 9.344101, 1363, 66.477615
March 01 2025 10:50:38, 54.812145, 9.507561, 1365, 66.417908
March 01 2025 10:51:38, 53.954601, 9.637451, 1361, 66.537315
March 01 2025 10:52:38, 52.600574, 9.760284, 1374, 66.149254
March 01 2025 10:53:39, 52.082348, 9.675980, 1366, 66.388062
March 01 2025 10:54:39, 52.600193, 9.833527, 1365, 66.417908
March 01 2025 10:55:39, 51.366329, 9.556580, 1364, 66.447762
March 01 2025 10:56:39, 51.775837, 9.249687, 1370, 66.268654
March 01 2025 10:57:40, 54.442215, 9.166718, 1363, 66.477615
March 01 2025 10:58:40, 54.691029, 9.003448, 1366, 66.388062
March 01 2025 10:59:40, 56.473160, 9.003258, 1366, 66.388062
March 01 2025 11:00:40, 54.543972, 8.808899, 1363, 66.477615
March 01 2025 11:01:41, 54.837894, 8.705711, 1363, 66.477615
March 01 2025 11:02:41, 55.146790, 8.642197, 1371, 66.238808
March 01 2025 11:03:41, 55.878258, 8.682632, 1350, 66.865669
March 01 2025 11:04:41, 56.460285, 8.909225, 1366, 66.388062
March 01 2025 11:05:41, 55.910301, 9.042549, 1367, 66.358208
