Date, Humidity (%), Temperature (°C), Soil Moisture (%), Humidity Purcentage (%)
March 01 2025 08:38:29, 56.615257, 8.511734, 3200, 11.641791
March 01 2025 08:40:41, 55.051517, 8.168793, 1562, 60.537312
March 01 2025 08:41:41, 53.510571, 8.665848, 1535, 61.343285
March 01 2025 08:42:41, 51.852322, 8.870888, 1519, 61.820896
March 01 2025 08:43:42, 51.573467, 8.780670, 1506, 62.208954
March 01 2025 08:44:42, 51.404953, 8.658028, 1493, 62.597015
March 01 2025 08:45:42, 51.452160, 8.648872, 1488, 62.746269
March 01 2025 08:46:42, 51.778698, 8.634186, 1478, 63.044777
March 01 2025 08:47:43, 52.003384, 8.452606, 1479, 63.014927
March 01 2025 08:48:43, 53.771019, 8.193970, 1474, 63.164181
March 01 2025 08:50:46, 57.531929, 7.682610, 1468, 63.343285
March 01 2025 08:51:47, 55.916882, 7.962990, 1472, 63.223881
March 01 2025 08:52:47, 54.959965, 8.121490, 1463, 63.492538
March 01 2025 08:53:47, 53.928375, 8.129883, 1458, 63.641792
March 01 2025 08:54:48, 53.859520, 7.943535, 1467, 63.373135
March 01 2025 09:08:19, 55.258751, 7.994270, 1466, 63.402985
March 01 2025 09:09:20, 54.142761, 8.119202, 1458, 63.641792
March 01 2025 09:10:20, 54.882812, 8.098412, 1465, 63.432835
March 01 2025 09:11:21, 54.504967, 8.127213, 1461, 63.552238
March 01 2025 09:12:21, 54.812145, 8.138466, 1466, 63.402985
March 01 2025 09:13:21, 54.362202, 8.139992, 1463, 63.492538
March 01 2025 09:14:21, 54.382420, 8.208656, 1467, 63.373135
March 01 2025 09:15:21, 53.859901, 8.332443, 1472, 63.223881
March 01 2025 09:16:22, 53.596497, 8.382416, 1472, 63.223881
March 01 2025 09:17:22, 53.573799, 8.344841, 1471, 63.253731
March 01 2025 09:18:22, 53.988171, 8.378029, 1469, 63.313435
March 01 2025 09:19:22, 54.094219, 8.415794, 1471, 63.253731
March 01 2025 09:20:23, 53.555012, 8.454514, 1466, 63.402985
March 01 2025 09:21:23, 52.641201, 8.586502, 1472, 63.223881
March 01 2025 09:22:23, 52.849579, 8.659363, 1473, 63.194031
March 01 2025 09:23:23, 52.751255, 8.659554, 1481, 62.955223
March 01 2025 09:24:24, 52.723598, 8.677864, 1477, 63.074627
March 01 2025 09:25:24, 52.150822, 8.721542, 1476, 63.104477
March 01 2025 09:26:24, 50.985432, 8.712006, 1472, 63.223881
March 01 2025 09:27:24, 50.252247, 8.797836, 1470, 63.283581
March 01 2025 09:28:24, 49.551296, 8.832169, 1477, 63.074627
March 01 2025 09:29:25, 48.011303, 8.870125, 1475, 63.134327
March 01 2025 09:30:25, 49.858093, 8.790779, 1483, 62.895523
March 01 2025 09:31:25, 49.673748, 8.840370, 1485, 62.835819
March 01 2025 09:32:25, 48.875999, 8.862686, 1478, 63.044777
March 01 2025 09:33:26, 49.071884, 8.903885, 1483, 62.895523
March 01 2025 09:34:26, 49.761105, 9.022713, 1485, 62.835819
March 01 2025 09:35:26, 49.273109, 9.095955, 1491, 62.656715
March 01 2025 09:36:26, 48.520374, 9.055138, 1486, 62.805969
March 01 2025 09:37:27, 48.845768, 8.951950, 1488, 62.746269
March 01 2025 09:38:27, 49.100685, 8.958244, 1486, 62.805969
March 01 2025 09:39:27, 50.194931, 8.965492, 1485, 62.835819
March 01 2025 09:40:27, 49.635220, 8.993721, 1482, 62.925373
March 01 2025 09:41:28, 49.968719, 8.979416, 1488, 62.746269
March 01 2025 09:42:28, 49.301720, 8.992004, 1487, 62.776119
March 01 2025 09:43:28, 48.165035, 9.073448, 1486, 62.805969
March 01 2025 09:44:28, 48.833942, 9.064102, 1491, 62.656715
March 01 2025 09:45:28, 48.499298, 9.201050, 1488, 62.746269
March 01 2025 09:46:29, 48.528671, 9.184265, 1484, 62.865673
March 01 2025 09:47:29, 49.325466, 9.084129, 1487, 62.776119
March 01 2025 09:48:29, 49.960232, 9.119987, 1495, 62.537312
March 01 2025 09:49:29, 49.308777, 9.131622, 1489, 62.716419
March 01 2025 09:50:30, 49.575138, 9.266090, 1489, 62.716419
March 01 2025 09:51:30, 47.525978, 9.276772, 1491, 62.656715
March 01 2025 09:52:30, 46.522903, 9.413338, 1493, 62.597015
March 01 2025 09:53:30, 46.727180, 9.355736, 1498, 62.447762
March 01 2025 09:54:31, 47.126484, 9.126663, 1493, 62.597015
March 01 2025 09:55:31, 48.489189, 9.129143, 1489, 62.716419
March 01 2025 09:56:31, 48.203182, 9.287262, 1491, 62.656715
March 01 2025 09:57:31, 46.950340, 9.358597, 1494, 62.567165
March 01 2025 09:58:31, 47.144890, 9.290695, 1494, 62.567165
March 01 2025 09:59:32, 46.285725, 9.253311, 1503, 62.298508
March 01 2025 10:00:32, 47.294426, 9.276009, 1502, 62.328358
March 01 2025 10:01:32, 48.982811, 9.260750, 1497, 62.477612
March 01 2025 10:02:32, 48.461437, 9.353065, 1502, 62.328358
March 01 2025 10:03:33, 47.426796, 9.531021, 1504, 62.268658
March 01 2025 10:04:33, 46.144581, 9.563065, 1503, 62.298508
March 01 2025 10:05:33, 45.839024, 9.479523, 1503, 62.298508
March 01 2025 10:06:33, 45.994759, 9.539032, 1500, 62.388062
March 01 2025 10:07:34, 46.715260, 9.641457, 1501, 62.358208
March 01 2025 10:08:34, 46.387577, 9.787941, 1499, 62.417912
March 01 2025 10:09:34, 46.453667, 9.771919, 1503, 62.298508
March 01 2025 10:10:34, 45.604324, 9.847641, 1513, 62.000000
March 01 2025 10:11:35, 44.219875, 9.735680, 1503, 62.298508
March 01 2025 10:12:35, 44.873714, 9.440613, 1506, 62.208954
March 01 2025 10:13:35, 46.092892, 9.267426, 1509, 62.119404
March 01 2025 10:14:35, 46.021652, 9.450912, 1504, 62.268658
March 01 2025 10:15:35, 45.452785, 9.317017, 1501, 62.358208
March 01 2025 10:16:36, 45.943165, 9.364891, 1518, 61.850746
March 01 2025 10:17:36, 45.865917, 9.626579, 1514, 61.970150
March 01 2025 10:18:36, 46.143341, 9.662056, 1514, 61.970150
March 01 2025 10:19:36, 43.692303, 9.750175, 1508, 62.149254
March 01 2025 10:20:37, 44.559765, 9.515762, 1513, 62.000000
March 01 2025 10:21:37, 45.407200, 9.360123, 1514, 61.970150
March 01 2025 10:22:37, 45.534229, 9.492493, 1517, 61.880596
March 01 2025 10:23:37, 46.845722, 9.535027, 1505, 62.238808
March 01 2025 10:24:38, 46.651840, 9.760094, 1513, 62.000000
March 01 2025 10:25:38, 45.250130, 9.927177, 1511, 62.059700
March 01 2025 10:26:38, 46.193123, 9.921646, 1511, 62.059700
March 01 2025 10:27:38, 44.310284, 10.011482, 1518, 61.850746
March 01 2025 10:28:39, 44.599438, 9.931946, 1517, 61.880596
March 01 2025 10:29:39, 46.098423, 10.109138, 1514, 61.970150
March 01 2025 10:30:39, 45.028210, 10.178185, 1527, 61.582088
March 01 2025 10:31:39, 44.318581, 10.200500, 1520, 61.791046
March 01 2025 10:32:39, 43.864632, 10.231400, 1511, 62.059700
March 01 2025 10:33:40, 43.612194, 9.840012, 1518, 61.850746
March 01 2025 10:34:40, 44.119167, 10.083771, 1511, 62.059700
March 01 2025 10:35:40, 45.472240, 10.099030, 1520, 61.791046
March 01 2025 10:36:40, 45.726871, 10.118294, 1518, 61.850746
March 01 2025 10:37:41, 44.800472, 10.163879, 1520, 61.791046
