Date, Humidity (%), Temperature (°C), Soil Moisture (%), Humidity Purcentage (%)
March 01 2025 09:16:49, 51.012516, 9.804153, 1091, 74.597015
March 01 2025 09:17:49, 51.486206, 9.580612, 1429, 64.507462
March 01 2025 09:18:50, 51.459122, 10.329437, 1329, 67.492538
March 01 2025 09:19:50, 49.001408, 10.506630, 1322, 67.701492
March 01 2025 09:20:50, 47.378349, 10.343552, 1333, 67.373131
March 01 2025 09:21:50, 49.122238, 10.141945, 1321, 67.731346
March 01 2025 09:22:51, 49.717426, 9.941673, 1332, 67.402985
March 01 2025 09:23:51, 50.320244, 9.711266, 1325, 67.611938
March 01 2025 09:24:51, 49.614525, 9.992409, 1456, 63.701492
March 01 2025 09:25:52, 49.193859, 10.092926, 1386, 65.791046
March 01 2025 09:26:52, 49.518776, 10.207939, 1375, 66.119400
March 01 2025 09:27:52, 48.088360, 10.224533, 1375, 66.119400
March 01 2025 09:28:53, 47.947788, 10.327530, 1399, 65.402985
March 01 2025 09:29:53, 46.621037, 10.272026, 1379, 66.000000
March 01 2025 09:30:53, 47.939396, 10.336876, 1361, 66.537315
March 01 2025 09:31:53, 47.429657, 10.277557, 1389, 65.701492
March 01 2025 09:32:53, 47.713852, 10.291672, 1364, 66.447762
March 01 2025 09:33:54, 48.614216, 10.412216, 1395, 65.522385
March 01 2025 09:34:54, 47.823620, 10.420799, 1363, 66.477615
March 01 2025 09:35:54, 47.066307, 10.394478, 1360, 66.567162
March 01 2025 09:36:54, 46.765518, 10.356903, 1398, 65.432838
March 01 2025 09:37:54, 47.735119, 10.380173, 1381, 65.940300
March 01 2025 09:38:55, 46.900749, 10.364723, 1390, 65.671638
March 01 2025 09:39:55, 46.336365, 10.453224, 1334, 67.343285
March 01 2025 09:40:55, 47.181129, 10.491753, 1365, 66.417908
March 01 2025 09:41:55, 48.759747, 10.548019, 1354, 66.746269
March 01 2025 09:42:55, 49.676991, 10.671043, 1360, 66.567162
March 01 2025 09:43:56, 48.935032, 10.764122, 1365, 66.417908
March 01 2025 09:44:56, 45.925140, 10.635948, 1382, 65.910446
March 01 2025 09:45:56, 47.924232, 10.736084, 1389, 65.701492
March 01 2025 09:46:56, 48.219776, 10.807610, 1383, 65.880600
March 01 2025 09:47:57, 48.072433, 10.868835, 1367, 66.358208
March 01 2025 09:48:57, 48.145103, 10.925293, 1376, 66.089554
March 01 2025 09:49:57, 47.855282, 11.035347, 1365, 66.417908
March 01 2025 09:50:57, 48.442078, 11.085701, 1359, 66.597015
March 01 2025 09:51:57, 46.357727, 10.994530, 1386, 65.791046
March 01 2025 09:52:58, 46.908188, 10.988235, 1380, 65.970146
March 01 2025 09:53:58, 44.920635, 10.902405, 1401, 65.343285
March 01 2025 09:54:58, 46.969509, 10.932159, 1358, 66.626869
March 01 2025 09:55:58, 47.398281, 10.980415, 1399, 65.402985
March 01 2025 09:56:58, 47.576714, 11.067009, 1363, 66.477615
March 01 2025 09:57:59, 47.089767, 11.068916, 1423, 64.686569
March 01 2025 09:58:59, 47.774696, 11.140060, 1384, 65.850746
March 01 2025 09:59:59, 47.489357, 11.220741, 1413, 64.985077
March 01 2025 10:00:59, 44.756985, 11.133575, 1360, 66.567162
March 01 2025 10:02:00, 45.548439, 11.272240, 1387, 65.761192
March 01 2025 10:03:00, 46.448326, 11.441803, 1390, 65.671638
March 01 2025 10:04:00, 47.107124, 11.623192, 1365, 66.417908
March 01 2025 10:05:00, 47.545815, 11.917305, 1379, 66.000000
March 01 2025 10:06:01, 47.238064, 12.096405, 1361, 66.537315
March 01 2025 10:07:01, 43.868637, 12.179756, 1353, 66.776123
March 01 2025 10:08:01, 41.556263, 12.067223, 1363, 66.477615
March 01 2025 10:09:01, 42.347145, 12.055206, 1387, 65.761192
March 01 2025 10:10:01, 43.879795, 12.171555, 1346, 66.985077
March 01 2025 10:11:02, 44.566154, 12.505913, 1348, 66.925377
March 01 2025 10:12:02, 41.467762, 12.224960, 1381, 65.940300
March 01 2025 10:13:02, 42.814159, 12.422752, 1357, 66.656715
March 01 2025 10:14:02, 40.878105, 12.275314, 1375, 66.119400
March 01 2025 10:15:03, 42.806625, 12.547684, 1383, 65.880600
March 01 2025 10:16:03, 41.489029, 12.558174, 1390, 65.671638
March 01 2025 10:17:03, 41.751766, 12.588692, 1392, 65.611938
March 01 2025 10:18:03, 41.039181, 12.576103, 1383, 65.880600
March 01 2025 10:19:04, 41.615772, 12.827873, 1369, 66.298508
March 01 2025 10:20:04, 42.230415, 13.032913, 1362, 66.507462
March 01 2025 10:21:04, 40.881443, 13.276482, 1383, 65.880600
March 01 2025 10:22:04, 42.128944, 13.414764, 1402, 65.313431
March 01 2025 10:23:05, 41.496277, 13.575554, 1367, 66.358208
