Date, Humidity (%), Temperature (°C), Light (lux), Soil Moisture, Humidity Purcentage (%)
January 14 2025 14:20:37, 0.594411, 6.443977, 1802.649536, 1643, 1.000000
January 14 2025 14:20:41, 0.595205, 6.467819, 1863.475220, 1629, 1.000000
January 14 2025 14:20:43, 0.595527, 6.454659, 1859.788818, 1649, 1.000000
January 14 2025 14:20:47, 0.595946, 6.435204, 1851.494385, 1632, 1.000000
January 14 2025 14:20:50, 0.595344, 6.436920, 1855.180786, 1641, 1.000000
January 14 2025 14:20:54, 0.596389, 6.440353, 1860.710327, 1669, 1.000000
January 14 2025 14:20:56, 0.597146, 6.428337, 1858.406372, 1639, 1.000000
January 14 2025 14:21:00, 0.597962, 6.421089, 1889.279907, 1637, 1.000000
January 14 2025 14:21:02, 0.598463, 6.439972, 1866.700806, 1607, 1.000000
January 14 2025 14:21:17, 0.593740, 6.394577, 1792.511963, 1645, 1.000000
January 14 2025 14:21:19, 0.592703, 6.393433, 1807.257568, 1648, 1.000000
January 14 2025 14:21:22, 0.591383, 6.385231, 1805.414429, 1658, 1.000000
January 14 2025 14:21:25, 0.590587, 6.389618, 1813.247925, 1614, 1.000000
January 14 2025 14:21:29, 0.589755, 6.340981, 1900.799927, 1607, 1.000000
January 14 2025 14:21:31, 0.589307, 6.368828, 1898.956787, 1613, 1.000000
January 14 2025 14:21:35, 0.588979, 6.374741, 1898.956787, 1616, 1.000000
January 14 2025 14:21:37, 0.587774, 6.369209, 1899.417603, 1625, 1.000000
January 14 2025 14:21:41, 0.587391, 6.357002, 1901.260742, 1627, 1.000000
January 14 2025 14:21:43, 0.587655, 6.365585, 1902.182373, 1638, 1.000000
January 14 2025 14:21:47, 0.585966, 6.339073, 1901.721558, 1630, 1.000000
January 14 2025 14:21:49, 0.586317, 6.351852, 1904.025513, 1634, 1.000000
January 14 2025 14:21:53, 0.585442, 6.345367, 1906.790405, 1625, 1.000000
January 14 2025 14:21:55, 0.585137, 6.339455, 1906.329590, 1635, 1.000000
January 14 2025 14:21:59, 0.583442, 6.331253, 1906.790405, 1615, 1.000000
January 14 2025 14:22:01, 0.582823, 6.323433, 1904.947144, 1641, 1.000000
January 14 2025 14:22:05, 0.581957, 6.326103, 1907.711914, 1611, 1.000000
January 14 2025 14:22:07, 0.581706, 6.335449, 1907.251221, 1639, 1.000000
January 14 2025 14:22:11, 0.580929, 6.288719, 1910.476807, 1600, 1.000000
January 14 2025 14:22:13, 0.581550, 6.296921, 1904.947144, 1611, 1.000000
January 14 2025 14:22:18, 0.582822, 6.305122, 1903.564819, 1614, 1.000000
January 14 2025 14:22:31, 0.587060, 6.299591, 1869.465576, 1618, 1.000000
January 14 2025 14:22:35, 0.587559, 6.263733, 1841.817627, 1604, 1.000000
January 14 2025 14:22:38, 0.587013, 6.276894, 1842.739136, 1613, 1.000000
January 14 2025 14:22:41, 0.586254, 6.264114, 1818.777588, 1616, 1.000000
January 14 2025 14:22:55, 0.583123, 6.232643, 1857.484741, 1637, 1.000000
January 14 2025 14:22:58, 0.582981, 6.230545, 1868.543945, 1621, 1.000000
January 14 2025 14:23:12, 0.580969, 6.207466, 1880.063965, 1595, 1.000000
January 14 2025 14:23:16, 0.580227, 6.202126, 1899.878418, 1630, 1.000000
January 14 2025 14:23:18, 0.580310, 6.244087, 1901.721558, 1627, 1.000000
January 14 2025 14:23:22, 0.580578, 6.204224, 1892.505615, 1609, 1.000000
January 14 2025 14:23:24, 0.580350, 6.216049, 1894.809570, 1619, 1.000000
January 14 2025 14:23:27, 0.580049, 6.230545, 1899.417603, 1622, 1.000000
January 14 2025 14:23:29, 0.579767, 6.201935, 1902.643188, 1616, 1.000000
January 14 2025 14:23:33, 0.578627, 6.215286, 1851.955200, 1603, 1.000000
January 14 2025 14:23:35, 0.579079, 6.207848, 1897.113525, 1625, 1.000000
January 14 2025 14:23:38, 0.579700, 6.193542, 1898.956787, 1616, 1.000000
January 14 2025 14:23:40, 0.579311, 6.209373, 1890.201538, 1613, 1.000000
January 14 2025 14:23:44, 0.579420, 6.203461, 1920.614380, 1617, 1.000000
January 14 2025 14:23:46, 0.579641, 6.233406, 1922.918335, 1638, 1.000000
January 14 2025 14:23:50, 0.581129, 6.179047, 1896.192017, 1625, 1.000000
January 14 2025 14:23:52, 0.581861, 6.202126, 1882.367920, 1616, 1.000000
January 14 2025 14:23:55, 0.584095, 6.228065, 1911.859131, 1617, 1.000000
January 14 2025 14:23:57, 0.584403, 6.189728, 1912.780762, 1627, 1.000000
January 14 2025 14:24:01, 0.586033, 6.197929, 1906.329590, 1640, 1.000000
January 14 2025 14:24:03, 0.588344, 6.222343, 1892.044800, 1646, 1.000000
January 14 2025 14:24:08, 0.590952, 6.220245, 1930.291138, 1627, 1.000000
January 14 2025 14:24:09, 0.592346, 6.239128, 1890.662354, 1647, 1.000000
January 14 2025 14:24:13, 0.594061, 6.177139, 1898.495972, 1645, 1.000000
January 14 2025 14:24:15, 0.594409, 6.214142, 1917.388794, 1622, 1.000000
January 14 2025 14:24:19, 0.595150, 6.226349, 1921.075195, 1595, 1.000000
January 14 2025 14:24:21, 0.594748, 6.245041, 1944.575928, 1638, 1.000000
January 14 2025 14:24:40, 0.593957, 6.227112, 1931.212769, 1619, 1.000000
January 14 2025 14:24:43, 0.592592, 6.240463, 1934.438354, 1627, 1.000000
January 14 2025 14:24:47, 0.590115, 6.225204, 2010.009521, 1625, 1.000000
January 14 2025 14:24:49, 0.589060, 6.229591, 2005.401611, 1610, 1.000000
January 14 2025 14:24:54, 0.587649, 6.241608, 1990.195190, 1613, 1.000000
January 14 2025 14:25:07, 0.585304, 6.268120, 2086.502441, 1667, 1.000000
January 14 2025 14:25:11, 0.585302, 6.258774, 1984.665527, 1618, 1.000000
January 14 2025 14:25:13, 0.586061, 6.282234, 1977.292725, 1619, 1.000000
January 14 2025 14:25:17, 0.586108, 6.267357, 2115.532715, 1595, 1.000000
January 14 2025 14:25:19, 0.586926, 6.291389, 2114.150391, 1633, 1.000000
January 14 2025 14:25:23, 0.587538, 6.309891, 2090.649658, 1615, 1.000000
January 14 2025 14:25:25, 0.587412, 6.291389, 1986.969604, 1606, 1.000000
January 14 2025 14:25:28, 0.587635, 6.300926, 1979.596802, 1616, 1.000000
January 14 2025 14:25:31, 0.588023, 6.334877, 1983.283203, 1611, 1.000000
January 14 2025 14:25:35, 0.587819, 6.314468, 2033.510376, 1632, 1.000000
January 14 2025 14:25:37, 0.587967, 6.339645, 2042.726318, 1626, 1.000000
January 14 2025 14:25:40, 0.588055, 6.354332, 1955.635132, 1629, 1.000000
January 14 2025 14:25:42, 0.587285, 6.339264, 1926.604736, 1600, 1.000000
January 14 2025 14:25:47, 0.586320, 6.360054, 2032.588745, 1621, 1.000000
January 14 2025 14:25:49, 0.585871, 6.366158, 2042.265625, 1605, 1.000000
January 14 2025 14:25:53, 0.585366, 6.362343, 2068.531250, 1597, 1.000000
January 14 2025 14:25:56, 0.585989, 6.376457, 1948.262329, 1630, 1.000000
January 14 2025 14:26:00, 0.585909, 6.377220, 1946.419189, 1621, 1.000000
January 14 2025 14:26:02, 0.584860, 6.381798, 1942.732788, 1616, 1.000000
January 14 2025 14:26:06, 0.584376, 6.391525, 1942.271973, 1605, 1.000000
January 14 2025 14:26:08, 0.583616, 6.379700, 1936.742310, 1613, 1.000000
January 14 2025 14:26:11, 0.583473, 6.396294, 1925.222412, 1626, 1.000000
January 14 2025 14:26:13, 0.583465, 6.404305, 1939.046387, 1588, 1.000000
January 14 2025 14:26:17, 0.583848, 6.421280, 1914.163208, 1606, 1.000000
January 14 2025 14:26:19, 0.583847, 6.432724, 1909.094360, 1600, 1.000000
January 14 2025 14:26:24, 0.583489, 6.410217, 2021.990356, 1629, 1.000000
January 14 2025 14:26:26, 0.583722, 6.439781, 2015.539185, 1625, 1.000000
January 14 2025 14:26:30, 0.584792, 6.429863, 1917.388794, 1591, 1.000000
January 14 2025 14:26:32, 0.585441, 6.431007, 1915.545532, 1612, 1.000000
January 14 2025 14:26:36, 0.587475, 6.430054, 1910.476807, 1634, 1.000000
January 14 2025 14:26:38, 0.588431, 6.456184, 1915.084717, 1626, 1.000000
January 14 2025 14:26:42, 0.588958, 6.451416, 1896.192017, 1613, 1.000000
January 14 2025 14:26:44, 0.588170, 6.455612, 1897.574341, 1631, 1.000000
January 14 2025 14:26:48, 0.587921, 6.463623, 1908.633545, 1604, 1.000000
January 14 2025 14:27:01, 0.588975, 6.471443, 1909.094360, 1603, 1.000000
January 14 2025 14:27:05, 0.589044, 6.481552, 1920.153564, 1611, 1.000000
January 14 2025 14:27:07, 0.587853, 6.470871, 1910.937622, 1581, 1.000000
January 14 2025 14:27:12, 0.587609, 6.460762, 1917.388794, 1614, 1.000000
January 14 2025 14:27:14, 0.587787, 6.479645, 1916.467163, 1648, 1.000000
January 14 2025 14:27:17, 0.587030, 6.485939, 1923.839966, 1610, 1.000000
January 14 2025 14:27:19, 0.587459, 6.475830, 1916.006348, 1622, 1.000000
January 14 2025 14:27:23, 0.587542, 6.477356, 1915.084717, 1648, 1.000000
January 14 2025 14:27:25, 0.587229, 6.492805, 1916.467163, 1638, 1.000000
January 14 2025 14:27:29, 0.586276, 6.480408, 1916.467163, 1635, 1.000000
January 14 2025 14:27:31, 0.585284, 6.488800, 1911.859131, 1643, 1.000000
January 14 2025 14:27:35, 0.582784, 6.478691, 1916.006348, 1600, 1.000000
January 14 2025 14:27:37, 0.581625, 6.470490, 1920.153564, 1617, 1.000000
January 14 2025 14:27:42, 0.579715, 6.494331, 1926.604736, 1600, 1.000000
January 14 2025 14:27:44, 0.579090, 6.498528, 1934.899170, 1602, 1.000000
January 14 2025 14:27:48, 0.578322, 6.491089, 1880.524780, 1629, 1.000000
January 14 2025 14:27:51, 0.578241, 6.507301, 1899.878418, 1627, 1.000000
January 14 2025 14:27:55, 0.578097, 6.496429, 1900.339111, 1590, 1.000000
January 14 2025 14:28:09, 0.578439, 6.519508, 1904.025513, 1597, 1.000000
January 14 2025 14:28:14, 0.579361, 6.505394, 1900.799927, 1620, 1.000000
January 14 2025 14:28:16, 0.579682, 6.507111, 1899.878418, 1598, 1.000000
January 14 2025 14:28:20, 0.579799, 6.492615, 1903.564819, 1630, 1.000000
January 14 2025 14:28:22, 0.580128, 6.509399, 1910.476807, 1648, 1.000000
January 14 2025 14:28:26, 0.578467, 6.486320, 1897.113525, 1611, 1.000000
January 14 2025 14:28:28, 0.577362, 6.521988, 1898.035156, 1627, 1.000000
January 14 2025 14:28:32, 0.577253, 6.498337, 1896.652710, 1621, 1.000000
January 14 2025 14:28:33, 0.577075, 6.501961, 1897.113525, 1604, 1.000000
January 14 2025 14:28:38, 0.577655, 6.508636, 1891.123169, 1616, 1.000000
January 14 2025 14:28:40, 0.578121, 6.481171, 1921.536011, 1648, 1.000000
January 14 2025 14:28:43, 0.577291, 6.503868, 1938.124756, 1602, 1.000000
January 14 2025 14:28:46, 0.576978, 6.514168, 1943.193604, 1616, 1.000000
January 14 2025 14:28:50, 0.577033, 6.521034, 1933.516724, 1607, 1.000000
January 14 2025 14:28:52, 0.576118, 6.516266, 1932.595215, 1613, 1.000000
January 14 2025 14:28:56, 0.574351, 6.520271, 1932.595215, 1629, 1.000000
January 14 2025 14:28:58, 0.573389, 6.499672, 1931.673584, 1600, 1.000000
January 14 2025 14:29:02, 0.574044, 6.497383, 1930.291138, 1623, 1.000000
January 14 2025 14:29:04, 0.573773, 6.519127, 1930.751953, 1634, 1.000000
January 14 2025 14:29:08, 0.574072, 6.492233, 1933.055908, 1616, 1.000000
January 14 2025 14:29:10, 0.574665, 6.517982, 1929.369507, 1649, 1.000000
January 14 2025 14:29:14, 0.573600, 6.517220, 1957.478394, 1603, 1.000000
January 14 2025 14:29:16, 0.573988, 6.502914, 1963.929565, 1622, 1.000000
January 14 2025 14:29:20, 0.573402, 6.510735, 1978.214355, 1593, 1.000000
January 14 2025 14:29:22, 0.573012, 6.514359, 2000.793579, 1589, 1.000000
January 14 2025 14:29:26, 0.571958, 6.511688, 2005.862305, 1606, 1.000000
January 14 2025 14:29:27, 0.571475, 6.506157, 1986.969604, 1605, 1.000000
